id,RANK,MRR,nDCG,P@1,P@5
296,singleTweet,0.0,0.0,0.0,0.0
296,favorite,0.0192307692308,0.174583430048,0.0,0.0
296,askerFeedback_cos,0.2,0.386852807235,0.0,0.2
296,favorite_url,0.2,0.386852807235,0.0,0.2
296,sentimentAsker,0.25,0.430676558073,0.0,0.2
290,askerFeedback,0.1,0.392769678678,0.0,0.0
290,sentiment,0.5,0.608940971205,0.0,0.4
290,cos,0.111111111111,0.399727692614,0.0,0.0
290,url,0.125,0.391523366056,0.0,0.0
290,replies,1.0,0.69573988662,1.0,0.4
290,sentiment_url,1.0,0.783868982785,1.0,0.4
290,favoriteAsker,0.1,0.392769678678,0.0,0.0
290,askerFeedback_url,0.5,0.575913855024,0.0,0.4
290,singleTweet,0.0666666666667,0.368717885436,0.0,0.0
290,favorite,0.0909090909091,0.38752241632,0.0,0.0
290,askerFeedback_cos,0.5,0.570565946081,0.0,0.4
290,favorite_url,0.333333333333,0.531507692926,0.0,0.4
290,sentimentAsker,1.0,0.661379610304,1.0,0.2
273,askerFeedback,1.0,0.772533320448,1.0,0.6
273,sentiment,1.0,0.747045934001,1.0,0.4
273,cos,0.5,0.655839847752,0.0,0.4
273,url,1.0,0.727691787112,1.0,0.4
273,replies,0.25,0.662930206649,0.0,0.4
273,sentiment_url,1.0,0.797425091084,1.0,0.6
273,favoriteAsker,0.333333333333,0.623317957128,0.0,0.4
273,askerFeedback_url,1.0,0.771213714868,1.0,0.4
273,singleTweet,0.5,0.633006479808,0.0,0.4
273,favorite,1.0,0.721139339647,1.0,0.6
273,askerFeedback_cos,1.0,0.773877262673,1.0,0.4
273,favorite_url,1.0,0.73219211064,1.0,0.2
273,sentimentAsker,1.0,0.799888107202,1.0,0.6
274,askerFeedback,1.0,0.782240346364,1.0,0.2
274,sentiment,0.5,0.743989549425,0.0,0.2
274,cos,0.142857142857,0.71593680439,0.0,0.0
274,url,0.333333333333,0.764096043035,0.0,0.4
274,replies,1.0,0.813725862823,1.0,0.4
274,sentiment_url,1.0,0.810096457398,1.0,0.4
274,favoriteAsker,1.0,0.782240346364,1.0,0.2
274,askerFeedback_url,1.0,0.810096457398,1.0,0.4
274,singleTweet,1.0,0.77737395513,1.0,0.2
274,favorite,0.5,0.743633948808,0.0,0.2
274,askerFeedback_cos,1.0,0.800030025331,1.0,0.4
274,favorite_url,0.5,0.771490059841,0.0,0.4
274,sentimentAsker,1.0,0.782876607374,1.0,0.2
1004,askerFeedback,0.333333333333,0.5,0.0,0.2
1004,sentiment,0.333333333333,0.5,0.0,0.2
1004,cos,0.333333333333,0.5,0.0,0.2
1004,url,0.333333333333,0.5,0.0,0.2
